"Instruction","Response","Category"
"অবিনাশবাবু কেন আবার কলম ধরার সিদ্ধান্ত নিলেন?","অবিনাশবাবু পুরানা চিঠি পড়ে আবার কলম ধরার সিদ্ধান্ত নিলেন।","Causal"
"গল্পগুলোতে সময়ের মূল্য কীভাবে ফুটে উঠেছে?","গল্পগুলোতে সময়ের মূল্য ফুটে উঠেছে এইভাবে যে, প্রতিটি গল্পে সময়কে সঠিকভাবে ব্যবহার করার গুরুত্ব তুলে ধরেছেন।","Reasoning"
"“বৃষ্টির গান” গল্পে বিড়ালছানাটি কী খেয়েছিল?","গরম দুধ।","Factual"
"কেন রাজু গুহার ভেতরে ঢুকেছিল?","সে ভেবেছিল গুপ্তধন পাবে।","Causal"
"ঘড়মিস্ত্রির চিড়কুটের বার্তাটি কী বলে এবং তা আমাদের জীবনে কী শিক্ষা দেয়?","“সময়ে কখনো থেমে থাক না, স্মৃতিগুলো আগলে রেখা” — এটি শেখায় জীবনের গতি অব্যাহত রাখতে হবে, অতীত শুধু সংরক্ষণ নয়, অনুপ্রেরণাও।","Reasoning"
"অবিনাশবাবু কোথায় পুরোনো নীল খামটি খুঁজে পান?","আলমারির এক কোণে পড়ে থাকা অবস্থায়।","Factual"
"কেন অবিনাশবাবু আবার কলম ধরতে প্রস্তুত হন?","কারণ তার বন্ধুর পুরোনো চিঠি তাকে মনে করিয়ে দেয় সে একদিন লেখক হতে চেয়েছিল।","Causal"
"যদি রাজু গুহায় গুপ্তধনের বদলে প্রাকৃতিক সৌন্দর্য খুঁজে পায়, তাহলে গল্পটি কী বার্তা দেয়—সম্পদের সংজ্ঞা কি শুধু ভৌতিক ধন?","না; গল্পটি বলে প্রকৃতির সৌন্দর্য-ই আসল সম্পদ, যা অন্তরে শান্তি ও উপলব্ধি এনে দেয়।","Reasoning"
"চিঠিটি কত বছর আগে লেখা হয়েছিল?","বিশ বছর আগে।","Factual"
"কেন বৃষ্টি নামলে মায়ের আনন্দ হয়?","কারণ বৃষ্টির শব্দ ও দৃশ্য তার মনে আনন্দ জোগায় এবং এক ছোট্ট বিড়ালছানা খুঁজে পাওয়ার সুযোগ করে দেয়।","Causal"
"তিনটি গল্পের শেষেই একই বাক্য পুনরাবৃত্তি হয়; এ পুনরাবৃত্তি পাঠকের মনে কী প্রভাব ফেলে?","এটি জীবনের সাময়িকতা ও পরিবর্তনশীলতা গভীরভাবে উপলব্ধি করিয়ে পাঠককে চিন্তায় নিমজ্জিত করে।","Reasoning"
"গল্প সংখ্যা ১৭-এর অজানা পথিকটি কোথায় আশ্রয় নিয়েছিল?","সে গ্রামের প্রান্তের এক পুরনো বিটগাছির নিচে আশ্রয় নিয়েছিল।","Factual"
"কেন গ্রামবাসীরা সেই ঘুড়িটিকে জাদু বলে মনে করেছিল?","কারণ ঝড়ের রাতে পথিক উধাও হয়ে গেলেও গাছের নিচে শুধু একটি ঘুড়ি পড়ে ছিল, যা তাদের কাছে অতিপ্রাকৃত মনে হয়।","Causal"
"অজানা পথিকের আসল পরিচয় কী এবং এটি গল্পের বার্তায় কিভাবে প্রভাব ফেলে?","তিনি ছিলেন এক ধনী সমাজসেবী; এই পরিচয় প্রকাশের মাধ্যমে গল্প বোঝায় যে প্রকৃত মূল্যানুযায়ী বিচার না করে ভুল ধারণা করা যায় না।","Reasoning"
"গল্প সংখ্যা ১৮-এ মায়ের আনন্দের কারণ কী?","বৃষ্টি নামায় তার খুব আনন্দ হয়।","Factual"
"বিড়ালছানাটি মায়ের সঙ্গী হয়ে উঠল কীভাবে?","বৃষ্টির মধ্যে ভেজা বিড়ালছানাটিকে ঘরে এনে গরম দুধ খাওয়ানোর পর থেকেই তার সঙ্গে আত্মীয়তা গড়ে ওঠে।","Causal"
"বৃষ্টির শব্দ এবং একটি ছোট্ট প্রাণীর আগমন—এই দুই ঘটনা গল্পে জীবনের কোন মর্মার্থ উন্মোচন করে?","এটি বোঝায় যে জীবনের সামান্য মুহূর্ত—ধ্বনি বা সহানুভূতি—আমাদের একাকীত্ব দূর করে নতুন সম্পর্কের সূচনা করতে পারে।","Reasoning"
"গল্প সংখ্যা ১৯-এ রাজু গুহার ভেতর কী আলো দেখেছিল?","সে এক অদ্ভুত আলো দেখেছিল।","Factual"
"রাজু গুপ্তধনের সন্ধানে গেলেও শেষ পর্যন্ত তা কেন পায়নি?","কারণ গুহার ভেতর কোনো ধন ছিল না; আলোটাই ছিল প্রাকৃতিক সৌন্দর্য যা সে প্রথমে ‘গুপ্তধন’ ভেবেছিল।","Causal"
"গুহার অভ্যন্তরে ‘‘বিরাট মলা’’ আবিষ্কারের মাধ্যমে লেখক কী বার্তা দিতে চান?","তিনি বুঝাতে চান যে প্রকৃতির সৌন্দর্য্যই প্রকৃত ‘সম্পদ’; মানুষের কৃত্রিম ধন-সম্পদ নয়।","Reasoning"
"গল্প সংখ্যা ২০-এর ঘড়মিস্ত্রির কাছে আসা ঘড়িটি চলছিল কি?","না, ঘড়িটি চলছিল না।","Factual"
"চিঠিটি কে লিখেছিল?","চিঠিটি লিখেছিল অবিনাশের বন্ধু সমীর।","Factual"
"সমীর কেন অবিনাশকে লিখেছিল যে সে কলম দিয়ে জগত জয় করেছে?","কারণ অবিনাশ ছোটবেলায় লেখক হতে চেত, আর এখন সে সেই স্বপ্ন পূরণ করে জগত জয় করেছে।","Causal"
"অবিনাশ আজ কলম ধরতে চাইল—এ সিদ্ধান্ত কীভাবে জীবনের ছোট মুহূর্তের গুরুত্ব বোঝায়?","পুরনো চিঠি পেয়ে সে বুঝল একটা ছোট উৎসাহও ভবিষ্যতের পথ বদলে দিতে পারে, তাই আবার লেখার সিদ্ধান্ত নিল।","Reasoning"
"গল্প ২২-এর অচিনা পথিকটি কী ছিল?","অচিনা পথিকটি আসলে এক ধনী সমাজসেবী ছিলেন।","Factual"
"কেন গ্রামবাসীরা সানার ঘড়টিকে জাদু বলে ভেবেছিল?","ঝড়ের রাতে পথিক নিখোঁজ হয়ে গেলেও গাছের নিচে শুধু ঘড়টি পড়ে থাকায় তাদের কাছে তা রহস্যমঞ্চিত মনে হয়।","Causal"
"ঘড়িটি পাওয়া গেলেও পথিক চলে গেল—এই ঘটনা কী বার্তা দেয়?","সত্যিকারের সেবা নিঃস্বার্থ হয়; সাহায্যকারী পরিচয় না দিয়েও চলে যেতে পারে, কাজটাই থেকে যায়।","Reasoning"
"বৃষ্টির গান গল্পে মায়ের সঙ্গী কে হয়?","এক ছোট বিড়ালছানা মায়ের সঙ্গী হয়।","Factual"
"কেন বিড়ালছানাটি মায়ের ঘরে ঢুকেছিল?","বৃষ্টির মধ্যে ভিজে গেলে ছানাটি আশ্রয় ও খাবার খুঁজে ঘরে ঢোকে।","Causal"
"ছোট বিড়ালছানা আশ্রয় পাওয়া—এই মুহূর্তটি গল্পের মূল বার্তা কীভাবে তুলে ধরে?","দেখায় যে জীবনের ছোট অনুভূতিগুলো—দয়া, আশ্রয়, ভালোবাসা—আমাদের সবচেয়ে বড় শিক্ষা দেয়।","Reasoning"
"পাহাড়ের গুহায় রাজু কী আবিষ্কার করেছিল?","রাজু গুহার ভেতরে এক আশ্চর্য আলো দেখেছিল, কিন্তু ভেতরে গিয়ে বুঝল তা জ্ঞানপাপীদের বিশাল মলা।","Factual"
"হুমায়ূন আহমদের প্রদত্ত বক্তব্যটি কী?","মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়, কারণে-অকারণে বদলে যায়।","Factual"
"অচিনা পথিক গল্পের পথিক কোথায় আশ্রয় নেয়?","একটি পুরনা বিটগাছির নিচে।","Factual"
"নীল খাম ও একটি পুরনা চিঠি গল্পের লেখক কে?","হুমায়ূন আহমদ।","Factual"
"কেন মানুষের জীবন গল্পের সমষ্টি মাত্র?","কারণ জীবন নিয়ে বিভিন্ন গল্প লেখা হয় এবং প্রতিটি মানুষের জীবন একটি স্বতন্ত্র গল্প।","Causal"
"মানুষের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব কেন মনে করিয়ে দেয় গল্পগুলো?","গল্পগুলো আমাদের জীবনের ছোট ছোট মুহূর্তগুলোর গুরুত্ব বোঝায় কারণ প্রতিটি মুহূর্ত আমাদের জীবনকে প্রভাবিত করে।","Causal"
"অচিনা পথিক গল্পের পথিকের সানার ঘড়িটি কীভাবে গ্রামের সকলের মনে জাদুকরী বিস্ময়ের সৃষ্টি করে?","গ্রামের সকলে ভাবে এটি একটি জাদুকরী ব্যাপার, কারণ এটি অপ্রত্যাশিতভাবে একটি গাছের নিচে থেকে পাওয়া যায়।","Causal"
"হুমায়ূন আহমদের গল্পগুলো থেকে কী সিদ্ধান্তে উপনীত হওয়া যায়?","গল্পগুলো থেকে আমরা সিদ্ধান্তে উপনীত হই যে জীবনের প্রতিটি মুহূর্ত গুরুত্বপূর্ণ এবং মানুষের জীবন গল্পের সমষ্টি মাত্র।","Reasoning"
"নীল খাম ও একটি পুরনা চিঠি গল্পের অবিনাশবাবু কেন আবার কলম ধরার সিদ্ধান্ত নেন?","কারণ চিঠিটিতে লেখা ছিল যে তিনি যেন আবার কলম ধরেন এবং তিনি তার লেখালেখির পুরানো স্বপ্নকে আবার জাগিয়ে তুলতে চান।","Reasoning"
"গল্পগুলোতে জীবনের পরিবর্তনের ইঙ্গিত কীভাবে দেওয়া হয়েছে?","গল্পগুলোতে জীবনের পরিবর্তনের ইঙ্গিত দেওয়া হয়েছে এই বলে যে মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়।","Reasoning"
"পাঠকের মনে কীভাবে গল্পের প্রভাব বিস্তার করে?","গল্পগুলো পাঠকের মনে প্রভাব বিস্তার করে এই বলে যে জীবনের প্রতিটি মুহূর্ত গুরুত্বপূর্ণ এবং মানুষের জীবন গল্পের সমষ্টি মাত্র।","Reasoning"
"হুমায়ূন আহমদের প্রদত্ত গল্পগুলোতে জীবনের ছোট মুহূর্তের গুরুত্ব কীভাবে ফুটে উঠেছে?","হুমায়ূন আহমদের প্রদত্ত গল্পগুলোতে জীবনের ছোট মুহূর্তের গুরুত্ব ফুটে উঠেছে মানুষের জীবনকে গল্পের সমষ্টি হিসেবে দেখানোর মাধ্যমে।","Factual"
"গল্পগুলোতে মানুষের জীবনকে গল্পের সমষ্টি বলা হয়েছে কেন?","গল্পগুলোতে মানুষের জীবনকে গল্পের সমষ্টি বলা হয়েছে কারণ প্রতিটি মানুষের জীবনে বিভিন্ন ঘটনা, অভিজ্ঞতা এবং সম্পর্ক জড়িত থাকে, যা গল্পের মতোই।","Causal"
"গল্পগুলো থেকে কীভাবে বোঝা যায় যে মানুষের জীবনে ছোট মুহূর্তগুলো গুরুত্বপূর্ণ?","গল্পগুলো থেকে বোঝা যায় যে মানুষের জীবনে ছোট মুহূর্তগুলো গুরুত্বপূর্ণ কারণ এগুলো আমাদের জীবনকে পরিবর্তন করে এবং আমাদেরকে নতুন অভিজ্ঞতা ও জ্ঞান প্রদান করে।","Reasoning"
"রাজু গুহার ভেতরে কী দেখেছিল?","রাজু গুহার ভেতরে একটি অদ্ভুত আলো দেখেছিল।","Factual"
"ঘড়িবাবু কেন ঘড়টি মেরামত করছিলেন?","ঘড়িবাবু একটি পুরানো ঘড় মেরামত করছিলেন কারণ তার কাছে একটি পুরানো ঘড় এসেছিল যা কাজ করছিল না।","Causal"
"অচিনা পথিক গ্রামের সবাইকে কীভাবে সাহায্য করেছিল?","অচিনা পথিক গ্রামের সবাইকে সাহায্য করেছিল চুপচুপে মানুষের সাহায্য করে ভালোবাসার মাধ্যমে।","Reasoning"
"নীল খামের চিঠিটি কে লিখেছিল?","নীল খামের চিঠিটি লিখেছিল অবিনাশবাবুর বন্ধু সমীর।","Factual"
"""মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়"" কথাটির অর্থ কী?","""মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়"" কথাটির অর্থ হলো, মানুষ মারা গেলে তার দেহ পচে যায়, কিন্তু বেঁচে থাকলে তার জীবন পরিবর্তিত হয়।","Causal"
"গল্পগুলোতে ""সময়কে কখনো থেমে থাকতে দেব না"" কথাটির তাৎপর্য কী?","গল্পগুলোতে ""সময়কে কখনো থেমে থাকতে দেব না"" কথাটির তাৎপর্য হলো, সময়কে কাজে লাগিয়ে জীবনকে সার্থক করা।","Reasoning"
"পুরানা ঘড়ের ভেতরে কী লেখা ছিল?","পুরানা ঘড়ের ভেতরে লেখা ছিল ""সময়কে কখনো থেমে থাকতে দেব না, স্মৃতিগুলো আগলে রাখ""।","Factual"
"হুমায়ূন আহমদের গল্পগুলোর মূল বার্তা কী?","হুমায়ূন আহমদের গল্পগুলোর মূল বার্তা হলো, জীবনের ছোট মুহূর্তগুলোর গুরুত্ব এবং সময়কে কাজে লাগিয়ে জীবনকে সার্থক করা।","Reasoning"
"হুমায়ূন আহমদের প্রদত্ত গল্পগুলোর মূল বার্তাটি কী?","মানুষের জীবন গল্পের সমষ্টি মাত্র এবং জীবনের ছোট ছোট মুহূর্তের গুরুত্ব বোঝানো।","Factual"
"গল্পগুলোতে মানুষের জীবন সম্পর্কে কী বলা হয়েছে?","মানুষের জীবনকে গল্পের সমষ্টি হিসেবে দেখানো হয়েছে।","Factual"
"গল্পগুলোর মাধ্যমে পাঠকদের কী বুঝতে শেখানো হয়েছে?","জীবনের ছোট ছোট মুহূর্তের গুরুত্ব এবং স্মৃতিগুলোকে আগলে রাখার প্রয়োজনীয়তা।","Factual"
"কেন মানুষের জীবন গল্পের সমষ্টি মাত্র?","কারণ মানুষের জীবন বিভিন্ন ঘটনা, অভিজ্ঞতা, এবং সম্পর্কের সমষ্টি।","Causal"
"কীভাবে গল্পগুলো পাঠকদের জীবন সম্পর্কে সচেতন করে?","গল্পগুলো পাঠকদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব এবং স্মৃতিগুলোকে আগলে রাখার প্রয়োজনীয়তা সম্পর্কে সচেতন করে।","Causal"
"গল্পগুলোর মাধ্যমে কীভাবে পাঠকদের অনুভূতি এবং চিন্তার জগতকে প্রসারিত করা হয়?","গল্পগুলো পাঠকদের বিভিন্ন চরিত্র, ঘটনা, এবং পরিস্থিতির মাধ্যমে অনুভূতি এবং চিন্তার জগতকে প্রসারিত করে।","Causal"
"গল্পগুলোর মূল বার্তাটি পাঠকদের জীবনে কীভাবে প্রভাব ফেলতে পারে?","গল্পগুলোর মূল বার্তাটি পাঠকদের জীবনে ইতিবাচক প্রভাব ফেলতে পারে এবং তাদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব সম্পর্কে সচেতন করে তুলতে পারে।","Reasoning"
"গল্পগুলোর মাধ্যমে পাঠকরা কীভাবে নিজেদের জীবনকে নতুনভাবে দেখতে পায়?","গল্পগুলো পাঠকদের নিজেদের জীবনকে নতুনভাবে দেখতে এবং জীবনের ছোট ছোট মুহূর্তের গুরুত্ব সম্পর্কে সচেতন হতে সাহায্য করে।","Reasoning"
"গল্পগুলোর শিক্ষা কীভাবে পাঠকদের ভবিষ্যতের সিদ্ধান্ত গ্রহণে সহায়তা করতে পারে?","গল্পগুলোর শিক্ষা পাঠকদের ভবিষ্যতের সিদ্ধান্ত গ্রহণে সহায়তা করতে পারে এবং তাদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব সম্পর্কে সচেতন করে তুলতে পারে।","Reasoning"
"গল্পগুলোর মূল বার্তাটি কীভাবে সমাজে ইতিবাচক পরিবর্তন আনতে পারে?","গল্পগুলোর মূল বার্তাটি সমাজে ইতিবাচক পরিবর্তন আনতে পারে এবং মানুষের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব সম্পর্কে সচেতনতা বৃদ্ধি করতে পারে।","Reasoning"
"বিটগাছিতে আশ্রয় নেওয়া অচেনা পথিকটি আসলে কে ছিল?","তিনি ছিলেন এক ধনী সমাজসেবী, যে চুপচাপ মানুষের সাহায্য করতে ভালোবাসতেন।","Factual"
"কেন গ্রামবাসীরা গাছের নিচে পড়ে থাকা সানার ঘুড়িটাকে জাদু বলে ভাবল?","ঝড়ের রাতের পর গাছের সব চিল গেলেও শুধু সানার ঘুড়িটি অক্ষত থাকায় তারা বিস্মিত হয়ে এটিকে অলৌকিক মনে করেছিল।","Causal"
"গল্পগুলোর পুনরাবৃত্ত বক্তব্য “মানুষের জীবন গল্পের সমষ্টি মাত্র” থেকে কী বোঝা যায়—লেখক কি জীবনকে নিরর্থক বলতে চাইছেন, নাকি গল্পের মাধ্যমে তাৎপর্য খোঁজাকে প্রাধান্য দিচ্ছেন?","লেখক নিরর্থকতা নয় বরং প্রতিটি ক্ষুদ্র মুহূর্তের গল্প আবিষ্কারের মাধ্যমেই জীবনের তাৎপর্য প্রতিষ্ঠা করছেন; সুতরাং গল্পের সমষ্টিই জীবন বলে তিনি মানব অস্তিত্বকে অর্থবাহী করতে চান।","Reasoning"
"মায়ের খুশি হওয়ার কারণ কী ছিল?","বৃষ্টি নামায় তার খুব আনন্দ হয়েছিল।","Factual"
"বৃষ্টির মধ্যে বিড়ালছানাটি কীভাবে মায়ের ঘরে এল?","খুব কষ্টে ভিজে ভিজে সে খাবার খুঁজতে খুঁজতে জানালার পাশে এসে আর মায়ের দেওয়া গরম দুধ পেয়ে ঘরে ঢুকে পড়েছিল।","Causal"
"মায়ের একবারের সহানুভূতি কি বিড়ালছানাটির পুরো জীবন বদলে দেয়—এই পরিবর্তন কি বাস্তব জীবনেও সম্ভব?","গল্পে দেখানো হয়েছে ক্ষুদ্র দয়ার ফলে দীর্ঘস্থায়ী সহাবস্থান গড়ে উঠতে পারে; বাস্তবেও প্রাণীর প্রতি সহানুভূতি পোষণ করলে পাল্টা ভালোবাসা ও সঙ্গীত্ব গড়ে তোলা সম্ভব, তাই পরিবর্তন সম্ভব।","Reasoning"
"রাজু গুহার ভেতরে কী দেখেছিল?","একটি বিশাল মলা।","Factual"
"রাজু কেন গুহায় ঢোকার আগে গুপ্তধনের কথা ভাবছিল?","ভেতর থেকে আসা অদ্ভুত আলো দেখে সে ভেবেছিল সেখানে লুকানো ধনসম্পদ থাকতে পারে।","Causal"
"গল্পে গুপ্তধন না পেয়ে প্রকৃতির সৌন্দর্য উপলব্ধি করা হয়—এই বার্তা আধুনিক মানুষকে কী শিক্ষা দেয়?","সত্যিকারের সম্পদ প্রকৃতিই; অতিরিক্ত লোভ না করে পরিবেশকে রক্ষা ও উপভোগ করাই টেকসই জীবনের পথ।","Reasoning"
"পুরনো ঘড়িটিতে লুকানো চিরকুটে কী লেখা ছিল?","'সময়ে কখনো থেমে থাক না, স্মৃতিগুলো আগলে রেখো।'","Factual"
"চিঠিটি কার কাছ থেকে এসেছিল?","সমীর নামের বন্ধুর কাছ থেকে।","Factual"
"অবিনাশ কেন আবার কলম ধরার সিদ্ধান্ত নিল?","চিঠিতে সমীরের লেখা উক্তি “তুই আজকের তোর কলম দিয়ে জগত জয় করেছিস” তাঁর অনুপ্রেরণা জুগিয়েছিল বলে তিনি আবার লেখার প্রত্যয়ী হলেন।","Causal"
"গল্পে বারবার “মানুষের জীবন গল্পের সমষ্টি” বলা হলেও লেখক শেষে ‘সময়ে কখনা থেমে থোক’ বাক্যটি রেখেছেন—এই যুক্তি কী বোঝায়?","এটি বোঝায় যে জীবনের প্রতিটি ক্ষুদ্র মুহূর্তই গল্পের অংশ হলেও সময়ের গতিকে থামানো যায় না; গল্প চলতেই থাকে, তাই মানুষ তার কাহিনী নিজেই নির্মাণ করে চলেছে।","Reasoning"
"গ্রামের পুরনো বিটগাছিতে কী পাওয়া গিয়েছিল?","একটি ছোট্ট স্যানার ঘুড়ি।","Factual"
"গ্রামবাসীরা ঘুড়িটিকে জাদুবলে মনে করল কেন?","কারণ ঝড়ের রাতে অচেনা পথিকের আসা ও পরদিন সকালে ঘুড়িটি গাছে ঝুলে থাকা অস্বাভাবিক মনে হওয়ায় তারা এতে অলৌকিকতা খুঁজে পায়।","Causal"
"ঘুড়ি মেরামতকারীর কাছে বৃদ্ধ অচেনা ঘুড়ি এনেছিল—এই ঘটনা থেকে টাইমলেস কী শিক্ষা পাওয়া যায়?","যে অতীত বা ভবিষ্যৎ নির্বিশেষে প্রতিটি মুহূর্তই নতুন গল্পের সম্ভাবনা বহন করে; সময়ের গতির সঙ্গে তাল মিলিয়ে এগোনাই জীবনের চলমান কাহিনী।","Reasoning"
"মায়া কোন ঘটনায় বিড়ালছানাটিকে ঘরে তুলল?","বৃষ্টির মধ্যে বিড়ালছানাটি আশ্রয় খুঁজে পেলে মায়া তাকে গরম দুধ খাইয়ে ঘরে এনে দিল।","Factual"
"বৃষ্টির গান গল্পে বৃষ্টি কেন বিশেষ আনন্দ বয়ে আনে?","বৃষ্টির শব্দ ও দৃশ্য মায়ার মনে সৃজনশীলতা জাগায়, আর তখনই সে বিড়ালছানার সাহায্য করে নতুন সঙ্গী লাভ করে, তাই বৃষ্টি তার কাছে আনন্দের প্রতীক।","Causal"
"রাজু গুহায় গুপ্তধনের খোঁজে গিয়েছিল, কিন্তু সে যে সম্পদ পেল তা কী?","প্রকৃতির অপার সৌন্দর্য—বিশাল পাকা ঘাসের মাঠ।","Factual"
"রাজু যদি গুপ্তধনের বদলে শুধু সৌন্দর্য খুঁজে পায়, তবে এতে বোঝা যায় জীবনের মূল্যবোধে কী পরিবর্তন আসে?","বোঝা যায় প্রকৃত ধন মানুষের মনে সৌন্দর্য উপলব্ধি করার ক্ষমতা; বাহ্যিক সম্পত্তি নয়, অভ্যন্তরীণ দৃষ্টিই আসল সম্পদ।","Reasoning"
"""নীল খাম ও একটি পুরোনা চিঠি"" গল্পে অবিনাশবাবুর হাতে ধরা খামটি কোন রঙের ছিল?","খামটি নীল রঙের ছিল।","Factual"
"কেন অবিনাশবাবু হঠাৎ আবার কলম ধরার সিদ্ধান্ত নিলেন?","কারণ পুরোনো নীল খামে বন্ধু সমীরের লেখা চিঠি তাঁকে স্মরণ করিয়ে দিল যে সে একদিন লেখক হতে চেয়েছিল, এবং সেই স্বপ্ন পূরণের আবার ইচ্ছা জাগল।","Causal"
