"Instruction","Response","Category"
"কিɡউটার সংখ্যার 2’s Complement বের করার জন্য কোন সূত্র ব্যবহার করা হয়?","x + x′ = 2u","Factual"
"ম্যাট্রিক্স কী?","ম্যাট্রিক্স হলো সংখ্যা, চিহ্ন বা রাশি দ্বারা তৈরি এক ধরনের আয়তক্ষেত্রাকার বিন্যাস।","Factual"
"ম্যাট্রিক্স গুণফল কীভাবে করা হয়?","ম্যাট্রিক্স গুণফল করতে হলে প্রথম ম্যাট্রিক্সের সারি এবং দ্বিতীয় ম্যাট্রিক্সের কলামের সংখ্যা সমান হতে হবে। এরপর, গুণফলের প্রতিটি উপাদান প্রথম ম্যাট্রিক্সের সারি এবং দ্বিতীয় ম্যাট্রিক্সের কলামের উপাদানগুলির গুণফলের সমষ্টি হিসাবে গণনা করা হয়।","Causal"
"ম্যাট্রিক্স গুণফল ব্যবহার করে কীভাবে একটি রৈখিক সমীকরণ সমাধান করা যায়?","ম্যাট্রিক্স গুণফল ব্যবহার করে একটি রৈখিক সমীকরণ সমাধান করা যায় যদি সমীকরণটিকে ম্যাট্রিক্স আকারে প্রকাশ করা যায়। এরপর, ম্যাট্রিক্স গুণফল এবং বিপরীত ম্যাট্রিক্সের ধারণা ব্যবহার করে সমীকরণটি সমাধান করা যায়।","Reasoning"
"ভেক্টর কী?","ভেক্টর হলো একটি ম্যাট্রিক্স যার একটি সারি বা একটি কলাম থাকে।","Factual"
"XOR অপারেশন কী?","XOR অপারেশন হলো একটি বাইনারি অপারেশন যা দুটি বাইনারি সংখ্যার বিটগুলিকে তুলনা করে। যদি দুটি বিট একই হয়, তাহলে ফলাফল 0 হয়। আর যদি দুটি বিট ভিন্ন হয়, তাহলে ফলাফল 1 হয়।","Causal"
"ম্যাট্রিক্স যোগ এবং বিয়োগ কীভাবে করা হয়?","ম্যাট্রিক্স যোগ এবং বিয়োগ করতে হলে ম্যাট্রিক্সগুলির একই আকার হতে হবে। এরপর, যোগ বা বিয়োগের জন্য ম্যাট্রিক্সগুলির সংশ্লিষ্ট উপাদানগুলিকে যোগ বা বিয়োগ করা হয়।","Reasoning"
"নট অপারেশন কী?","নট অপারেশন হলো একটি ইউনারি অপারেশন যা একটি বাইনারি সংখ্যার বিটগুলিকে পরিবর্তন করে। যদি একটি বিট 0 হয়, তাহলে নট অপারেশনের ফলে এটি 1 হয়। আর যদি একটি বিট 1 হয়, তাহলে নট অপারেশনের ফলে এটি 0 হয়।","Factual"
"ম্যাট্রিক্স গুণফলের জন্য কোন শর্তটি প্রয়োজন?","ম্যাট্রিক্স গুণফলের জন্য প্রয়োজন যে প্রথম ম্যাট্রিক্সের কলামের সংখ্যা দ্বিতীয় ম্যাট্রিক্সের সারির সংখ্যার সমান হতে হবে।","Causal"
"ভেক্টর গুণফল কী?","ভেক্টর গুণফল হলো দুটি ভেক্টরের গুণফল যা একটি সংখ্যা বা একটি ভেক্টর হতে পারে।","Reasoning"
"ম্যাট্রিক্স বিপরীত কী?","ম্যাট্রিক্স বিপরীত হলো একটি ম্যাট্রিক্স যা মূল ম্যাট্রিক্সের গুণফল হিসাবে একক ম্যাট্রিক্স উৎপন্ন করে।","Factual"
"ম্যাট্রিক্স ব্যবহার করে কীভাবে একটি রৈখিক সমীকরণ সমাধান করা যায়?","ম্যাট্রিক্স ব্যবহার করে একটি রৈখিক সমীকরণ সমাধান করা যায় যদি সমীকরণটিকে ম্যাট্রিক্স আকারে প্রকাশ করা যায়। এরপর, ম্যাট্রিক্স গুণফল এবং বিপরীত ম্যাট্রিক্সের ধারণা ব্যবহার করে সমীকরণটি সমাধান করা যায়।","Reasoning"
"ম্যাট্রিক্স গুণফল কীভাবে সংজ্ঞায়িত করা হয়?","ম্যাট্রিক্স গুণফল সংজ্ঞায়িত করা হয় এভাবে: দুটি ম্যাট্রিক্স A এবং B এর গুণফল হল একটি ম্যাট্রিক্স যার প্রতিটি উপাদান A এর একটি সারি এবং B এর একটি কলামের ডট গুণফল দ্বারা গণনা করা হয়।","Factual"
"কেন ম্যাট্রিক্স গুণফল ব্যবহার করা হয়?","ম্যাট্রিক্স গুণফল ব্যবহার করা হয় কারণ এটি আমাদের একই সাথে অনেকগুলি ভেরিয়েবলের মধ্যে সম্পর্ক উপস্থাপন করতে এবং গণনা করতে সাহায্য করে। এটি বিভিন্ন ক্ষেত্রে যেমন গণিত, পদার্থবিদ্যা, কম্পিউটার বিজ্ঞান ইত্যাদিতে ব্যবহৃত হয়।","Causal"
"ম্যাট্রিক্স গুণফলের ক্ষেত্রে অ্যাসোসিয়েটিভিটি কী বোঝায়?","ম্যাট্রিক্স গুণফলের ক্ষেত্রে অ্যাসোসিয়েটিভিটি বোঝায় যে ম্যাট্রিক্স A, B, এবং C এর গুণফল (AB)C এবং A(BC) একই হবে। এটি আমাদের ম্যাট্রিক্স গুণফলের ক্রম পরিবর্তন করতে সাহায্য করে।","Reasoning"
"ফিবোনাচি সিকোয়েন্স কী?","ফিবোনাচি সিকোয়েন্স হল একটি সংখ্যার সিকোয়েন্স যেখানে প্রতিটি সংখ্যা পূর্ববর্তী দুটি সংখ্যার যোগফল।","Factual"
"কীভাবে ফিবোনাচি সিকোয়েন্সকে ম্যাট্রিক্স আকারে প্রকাশ করা যায়?","ফিবোনাচি সিকোয়েন্সকে ম্যাট্রিক্স আকারে প্রকাশ করা যায় এভাবে: 
\[ \begin{pmatrix} 1 & 1 \\ 1 & 0 \end{pmatrix} \begin{pmatrix} F_n \\ F_{n-1} \end{pmatrix} = \begin{pmatrix} F_{n+1} \\ F_n \end{pmatrix} \]","Causal"
"ম্যাট্রিক্স গুণফলের ক্ষেত্রে অর্ডার কী বোঝায়?","ম্যাট্রিক্স গুণফলের ক্ষেত্রে অর্ডার বোঝায় যে ম্যাট্রিক্স A এবং B এর গুণফল AB এবং BA একই নয়। অর্থাৎ, ম্যাট্রিক্স গুণফল ক্রম-নির্ভর।","Reasoning"
"লিনিয়ার রিকারেন্স রিলেশন কী?","লিনিয়ার রিকারেন্স রিলেশন হল একটি রিকারেন্স রিলেশন যেখানে প্রতিটি পদ পূর্ববর্তী পদগুলির একটি লিনিয়ার সমন্বয়।","Factual"
"কীভাবে লিনিয়ার রিকারেন্স রিলেশনকে ম্যাট্রিক্স আকারে প্রকাশ করা যায়?","লিনিয়ার রিকারেন্স রিলেশনকে ম্যাট্রিক্স আকারে প্রকাশ করা যায় এভাবে: 
\[ \begin{pmatrix} a_1 & a_2 & ... & a_k \end{pmatrix} \begin{pmatrix} F_{n-1} \\ F_{n-2} \\ ... \\ F_{n-k} \end{pmatrix} = F_n \]","Causal"
"ম্যাট্রিক্স গুণফলের ক্ষেত্রে ডাইনা믹 প্রোগ্রামিং কী বোঝায়?","ম্যাট্রিক্স গুণফলের ক্ষেত্রে ডাইনা믹 প্রোগ্রামিং বোঝায় যে জটিল সমস্যাগুলিকে ছোট উপ-সমস্যায় ভাগ করে সমাধান করা যেতে পারে এবং উপ-সমস্যাগুলির সমাধানগুলি স্মরণ করে রাখা যেতে পারে।","Reasoning"
"ম্যাট্রিক্স গুণফলের ক্ষেত্রে ভিজ্যুয়ালাইজেশন কী বোঝায়?","ম্যাট্রিক্স গুণফলের ক্ষেত্রে ভিজ্যুয়ালাইজেশন বোঝায় যে ম্যাট্রিক্স গুণফলকে গ্রাফিকালভাবে উপস্থাপন করা যেতে পারে, যা আমাদের ম্যাট্রিক্স গুণফলের ধারণাটি আরও ভালভাবে বুঝতে সাহায্য করে।","Factual"
"ম্যাট্রিক্স সমীকরণ (2.4.৩) অনুযায়ী, কোন k × k ম্যাট্রিক্স ব্যবহার করে k-তম ধাপের Fibonacci-সংখ্যা fn বের করা হয়?","ম্যাট্রিটির প্রথম সারি (a₁, a₂, …, aₖ) এবং নিচের (k-1)×k অংশে একক ম্যাট্রিক্সের মতো 1 ও 0 বসানো হয়, যেন পুরো ম্যাট্রিক্সটি fn-1 … fn-k কে fn … fn-k+1-এ রূপান্তর করে।","Factual"
"কেন একই ম্যাট্রিক্স A কে m-বার গুণ করলে fn+m পাওয়া যায়?","কারণ A প্রতিটি গুণে (fn, fn-1) কে (fn+1, fn) আকারে ঠেলে দেয়; m-বার গুনলে এই রূপান্তরটি m ধাপ এগিয়ে যায়, ফলে fn+m পাওয়া যায়।","Causal"
"ফিবনাচি নম্বর বের করার O(n) এলগরিদমের তুলনায় ম্যাট্রিক্স এক্সপোনেনশিয়েশন O(log n) হওয়ার পেছনে কী যুক্তি কাজ করে?","ম্যাট্রিক্স গুণের associative বৈশিষ্ট্যের কারণে Aⁿ কে বাইনারি এক্সপোনেনশিয়েশন দিয়ে log₂n বার গুণেই বের করা যায়, যখন লিনিয়ার রিকারেন্সে প্রতিটি ধাপ আলাদাভাবে গণনা করতে n পদ পর্যন্ত যেতে হয়।","Reasoning"
"ধারাটির fn = fn−1 + fn−2 + n আকারে থাকলে ম্যাট্রিক্স গঠনের জন্য কোন সহায়ক ধারা g চালু করা হয় এবং g-এর প্রাথমিক মান কত?","gn = n ধারাটি চালু করা হয় এবং g-এর প্রাথমিক মান g0 = 0।","Factual"
"কেন ঘন ঘন n পদটি যোগ হওয়ায় শুধু ফিবোনাচি ম্যাট্রিক্স দিয়ে fn = fn−1 + fn−2 + n সমাধান করা যায় না?","কারণ n শিরোনামে একটি অতিরিক্ত পদ যুক্ত থাকায় শুধু fn-1 ও fn-2 থেকে fn নির্ণয় করা সম্ভব নয়; তাই gn = n ধারা চালু করে পুরো সিস্টেমকে লিনিয়ার রিকারেন্সে রূপান্তর করতে হয়।","Causal"
"যদি প্রতিটি ধাপে n-পদটি ঘন ঘন পরিবর্তিত হয়, তাহলে ম্যাট্রিক্সের স্থানাঙ্ক কীভাবে নির্ভর করবে—এবং এতে অ্যালগরিদমের সময় জটিলতায় কী প্রভাব পড়বে?","n-পদের ঘনত্ব অনুযায়ী সহায়ক ধারার সংখ্যা ও ম্যাট্রিক্সের ক্রম বাড়বে; ফলে ম্যাট্রিক্স-এক্সপোনেনসিয়েশনের সাপেক্ষে O(k³ log n) জটিলতা কার্যকর হবে, যেখানে k হল সহায়ক ধারার মোট সংখ্যা।","Reasoning"
"Dk,i,j সংজ্ঞা কী?","Dk,i,j = i থেকে j-এ ঠিক kটি এজ ব্যবহার করে যাওয়া যায় এমন মোট উপায়সংখ্যা।","Factual"
"কেন Dk,i,j গণনা করতে সব m-এর জন্য Dk−1,i,m × Am,j যোগ করতে হয়?","m একটি অন্তর্বর্তী নোড হলে, i থেকে m পর্যন্ত k−1টি এজে যাওয়ার উপায় Dk−1,i,m এবং m থেকে j-এ একটি এজে যাওয়ার উপায় Am,j; সব সম্ভাব্য m-এর জন্য এদের গুণফল যোগ করলে সমস্ত k-এজ পথের সমষ্টি পাওয়া যায়।","Causal"
"যদি A-এর সব এজের ওজন 1 থাকে, তাহলে Dk = Ak কীভাবে সংক্ষিপ্ত গ্রাফ-পাওয়ার ধারণাটি ব্যাখ্যা করে?","A-এর সদস্য Am,j = 1 মানে m থেকে j-এ একটি এজ আছে; Ak-এর (i,j) প্রবেশ তখন i থেকে j-এ ঠিক kটি এজের সবচেয়ে ছোট পথসংখ্যা (প্রতিটি এজের ওজন 1) দেয়, যা Dk,i,j-এর সংজ্ঞার সঙ্গে পুরোপুরি মিলে যায়।","Reasoning"
"Dk,i,j = Σm Dk−1,i,m × Am,j সূত্রে Am,j-এর মান 0 হলে কী ঘটে?","Am,j = 0 হলে m থেকে j-এ সরাসরি এজ নেই, তাই m-এর জন্য পুরো পদ 0 হয়ে যায় এবং i থেকে j-এ m-এর মাধ্যমে কোনো k-এজ পথ গণনায় ধরা পড়ে না।","Factual"
"কেন Dk-এর পরিবর্তে সরাসরি Ak গুণফল ব্যবহার করে একই উত্তর পাওয়া যায়?","কারণ Dk,i,j সংজ্ঞা অনুযায়ী Dk = Dk−1 × A, এবং D1 = A; তাই আবৃত্তিতে Dk = Ak হয়, অর্থাৎ k-তম পাওয়ার ম্যাট্রিক্সটিই ঠিক kটি এজের সব পথসংখ্যা দেয়।","Causal"
"ম্যাট্রিক্স A-তে যদি সব diagonal এন্ট্রি 1 থাকে, তাহলে Dk,i,j এবং Ak-এর (i,j) এন্ট্রির মানে কী প্রভাব পড়ে?","Diagonal-এ 1 মানে প্রতিটি নোড নিজে নিজে একটি লুপ ধারণ করে; এতে k-এজ পথ গণনায় ঐ লুপগুলো ব্যবহৃত হতে পারে, তাই Ak-এর (i,j) এন্ট্রি i থেকে j-তে ঠিক k পদক্ষেপে (সম্ভবত পুনরাবৃত্ত নোডসহ) সম্ভাব্য পথসংখ্যা দিবে, যা Dk,i,j-এর সংজ্ঞায় অন্তর্ভুক্ত থাকে।","Reasoning"
"Dk,i,j বের করতে গেলে মোট কতবার A-সঙ্গে গুণ করতে হয়?","k-1 বার; কারণ Dk = Ak = A × A × … × A (k বার)।","Factual"
"বড় n (≤10⁹) এবং ছোট k (≤50) হলে কেন O(n³ log k) কমপ্লেক্সিটি গ্রহণযোগ্য?","n³-এর পরিবর্তে k³ log k ধাপে ম্যাট্রিক্স পাওয়ার করা যায়, যেখানে k ছোট থাকায় 50³ log 50 ≈ 50³ × 5.6 ≈ 0.7 মিলিয়ন অপারেশন, যা ১০⁹ নোডের ডাইনামিক প্রোগ্রামিং-এর তুলনায় অনেক কম।","Causal"
"যদি A-এর সব এজের ওজন 0.5 করা হয়, তাহলে Ak-এর (i,j) এন্ট্রি কী তথ্য দেবে?","এটি i থেকে j-এ ঠিক kটি এজের সমস্ত পথের ওজনের গুণফলের যোগফল দেবে, যেখানে প্রতিটি পথের ওজন = 0.5^k, অর্থাৎ এন্ট্রিটি i থেকে j-তে k-এজ পথের সম্ভাব্যতার সমতুল্য।","Reasoning"
"Dk,i,j গণনার সময় m-এর রেঞ্জ কত?","m = 1 থেকে n পর্যন্ত সব নোড; কারণ গ্রাফ n-টি নোড বিশিষ্ট।","Factual"
"ডাইনািমকেɓাȄািমং কী ?","ডাইনািমকেɓাȄািমং হেব একিট সমস্যা সমাধান প্রক্রিয়া যার সাহায্যে আমরা কোনো সমস্যার ছােট সমস্যাগুলাের সমাধান করে মূল সমস্যার সমাধান খুঁজে পাই।","Factual"
"0/1 Ɏাপʒাক সমস্যা কীভাবে সমাধান করা হয় ?","0/1 Ɏাপʒাক সমস্যা সমাধান করা হয় ডাইনািমকেɓাȄািমং এর সাহায্যে। এখানে, আমরা একটা টেবিল তৈরি করি যেখানে প্রতিটি সেলের মান হলো সর্বাধিক দাম যা আমরা পেতে পারি একটি নির্দিষ্ট ওজনের জন্য।","Causal"
"Ɏাপʒাক সমস্যার সমাধানে ডাইনািমকেɓাȄািমং ব্যবহারের সুবিধা কী ?","Ɏাপʒাক সমস্যার সমাধানে ডাইনািমকেɓাȄািমং ব্যবহারের সুবিধা হলো এটি আমাদের সমস্যার ছােট সমস্যাগুলাের সমাধান করে মূল সমস্যার সমাধান খুঁজে পেতে সাহায্য করে। এটি আমাদেরকে একটি নির্দিষ্ট ওজনের জন্য সর্বাধিক দাম পেতে সাহায্য করে।","Reasoning"
"1 × n িȄডিতে 1 × 1 এবং 1 × 2 েডািমেনা সাজানাের উপায় কী ?","1 × n িȄডিতে 1 × 1 এবং 1 × 2 েডািমেনা সাজানাের উপায় হলো (n/2) + (n%2)।","Factual"
"কেন (min, +) সাব-িরং ব্যবহার করা হয় ?","(min, +) সাব-িরং ব্যবহার করা হয় কারণ এটি আমাদেরকে একটি নির্দিষ্ট পাথের সর্বনিম্ন ওজন খুঁজে পেতে সাহায্য করে।","Causal"
"Ɏাপʒাক সমস্যার সমাধানে O(nW) সময় জটিলতা কীভাবে আসে ?","Ɏাপʒাক সমস্যার সমাধানে O(nW) সময় জটিলতা আসে কারণ আমাদেরকে একটি টেবিল তৈরি করতে হয় যেখানে প্রতিটি সেলের মান হলো সর্বাধিক দাম যা আমরা পেতে পারি একটি নির্দিষ্ট ওজনের জন্য। এটি আমাদেরকে O(nW) সময় জটিলতা দেয়।","Reasoning"
"0 −K Ɏাপʒাক সমস্যা কী ?","0 −K Ɏাপʒাক সমস্যা হলো এক ধরনের Ɏাপʒাক সমস্যা যেখানে আমাদেরকে একটি নির্দিষ্ট ওজনের জন্য সর্বাধিক দাম পেতে হয় এবং প্রতিটি আইটেমের একটি নির্দিষ্ট সংখ্যক কপি থাকে।","Factual"
"ডাইনািমকেɓাȄািমং এর মূল ধারণা কী ?","ডাইনািমকেɓাȄািমং এর মূল ধারণা হলো একটি সমস্যাকে ছােট সমস্যাগুলােতে ভাগ করে সমাধান করা।","Causal"
"(max, +) সাব-িরং এর ব্যবহার কী ?","(max, +) সাব-িরং এর ব্যবহার হলো একটি নির্দিষ্ট পাথের সর্বাধিক ওজন খুঁজে পেতে।","Factual"
"Ɏাপʒাক সমস্যার সমাধানে মেমাির অপিটমাইেজশেন কীভাবে সাহায্য করে ?","Ɏাপʒাক সমস্যার সমাধানে মেমাির অপিটমাইেজশেন সাহায্য করে আমাদেরকে একটি নির্দিষ্ট ওজনের জন্য সর্বাধিক দাম পেতে।","Reasoning"
"কি বোঝায় fi,j = ki max m=0{fi−1,j−wim + vim}?","এটি একটি সূত্র যা i-তম আইটেমের জন্য সর্বাধিক মান বের করতে ব্যবহৃত হয়।","Factual"
"কেন 0-1 ন্যাপস্যাক সমস্যার সমাধানের জন্য O(W × P log ki) সময় জটিলতা প্রয়োজন?","কারণ এটির জন্য ki-এর বাইনারি উপস্থাপনা তৈরি করা প্রয়োজন, যার জন্য O(P log ki) সময় লাগে।","Causal"
"কি সুবিধা আছে O(nW) সময় জটিলতার সমাধানের?","এটি O(W × P log ki) এর চেয়ে ভালো সমাধান কারণ এটির সময় জটিলতা কম।","Reasoning"
"কি বোঝায় gm(i, j) = fi,m+jwi?","এটি একটি ফাংশন যা gm(i, j) এর মান বের করতে ব্যবহৃত হয়।","Factual"
"কেন O(nW) সময় জটিলতা প্রয়োজন 0-1 ন্যাপস্যাক সমস্যার সমাধানের জন্য?","কারণ এটির জন্য সমস্ত আইটেমের জন্য সর্বাধিক মান বের করতে হবে।","Causal"
"কি সম্পর্ক আছে fi,j এবং fi−1,j−wim + vim এর মধ্যে?","এটি একটি রিকারসিভ সম্পর্ক যা fi,j এর মান বের করতে ব্যবহৃত হয়।","Reasoning"
"কি বোঝায় 0-1 ন্যাপস্যাক সমস্যা?","এটি একটি সমস্যা যেখানে একটি সেট থেকে আইটেম নির্বাচন করতে হয় যাতে ওজন এবং মানের সমন্বয়ে সর্বাধিক লাভ হয়।","Factual"
"কেন O(W × P log ki) সময় জটিলতা প্রয়োজন ki-এর বাইনারি উপস্থাপনা তৈরি করার জন্য?","কারণ এটির জন্য ki-এর বাইনারি উপস্থাপনা তৈরি করা প্রয়োজন।","Causal"
"কি সুবিধা আছে O(W) সময় জটিলতার সমাধানের?","এটি একটি দ্রুত সমাধান।","Reasoning"
"কি বোঝায় fi,0 , fi,1 , . . . , fi,W এর মান?","এটি i-তম আইটেমের জন্য সর্বাধিক মান বের করতে ব্যবহৃত হয়।","Factual"
"কেন O(nW) সময় জটিলতা প্রয়োজন সমস্ত আইটেমের জন্য সর্বাধিক মান বের করার জন্য?","কারণ এটির জন্য সমস্ত আইটেমের জন্য সর্বাধিক মান বের করতে হবে।","Causal"
"এই পাঠ্যাংশে fv,x কী সংজ্ঞায়িত করা হয়েছে?","fv,x কে সংজ্ঞায়িত করা হয়েছে—v নোডটির সাবট্রি-তে মোট x টি নোড নিয়ে এমন একটি সাবট্রি-কনফিগারেশন পাওয়া যাবে যাতে v নোডটিও ওই সাবট্রি-র অংশ হয়।","Factual"
"কেন fv,x বের করার সময় qi-গুলো সিলেক্ট করে q1+q2+⋯+qm=x−1 করতে হয়?","কারণ v-এর সাবট্রি-তে মোট x টি নোড নিতে হলে v-সহ তার সন্তান-সাবট্রি-গুলোতে মোট x−1 টি নোড ভাগ করে নিতে হয়; qi ঠিক এই ভাগটাই নির্দেশ করে, তাই যোগফল x−1 হওয়া আবশ্যক।","Causal"
"gi,x ধারণাটি fv,x গণনায় সহায়তা করছে—এই দাবিটি কতটা নিশ্চিতভাবে বলা যায়?","gi,x আগের চাইল্ড-গুলোর সম্ভাব্য qi-মান সংরক্ষণ করে পরবর্তী চাইল্ড-এর জন্য রানটাইম O(n)-এ রাখে; ফলে fv,x-এর সব qi-কম্বিনেশন দ্রুত নির্ণয় সম্ভব হয়। তাই দাবিটি যুক্তিসঙ্গতভাবে নিশ্চিত।","Reasoning"
"ডিপি সূত্রে gi,x নির্ণয়ে কতটি অপশন বিবেচনা করা হয়?","দুটি; প্রথমটি ""gi−1,x + 1"" এবং দ্বিতীয়টি ""min_{1≤a≤x} gi−1,x−a + fui,a""।","Factual"
"সূত্রে fv,x এর মান গণনার জন্য কেন gm,x ব্যবহার করা হয়?","কারণ gm,x ঠিক fv,x এর মানই প্রকাশ করে; সুতরাং সর্বশেষ টেবিল থেকেই fv,x পাওয়া যায়।","Causal"
"fv,∗-এর সব মান বের করতে O(|Tv|²) কমপ্লেক্সিটি কেন শ্রেয়?","কারণ |Tv| = 1 + Σ|Tui| হওয়ায় প্রতিটি সাবট্রির জন্য ব্যক্তিগতভাবে O(|Tui|²) ব্যবহার করলে মোট সময় O(Σ|Tui|²)-এর পরিবর্তে O(|Tv|²) হয়, যা সাধারণভাবে ছোট হতে পারে এবং ক্ষেত্রবিশেষে O(n²) পর্যন্ত নেমে আসে।","Reasoning"
"টেক্সটে উল্লিখিত প্রথম সমীকরণটি কী?","j=1 |Tuj| ≤a ≤|Tui|","Factual"
"টেক্সটে উল্লিখিত সমীকরণটি কেন কমে যায়?","কারণ এটি একটি নির্দিষ্ট প্রক্রিয়ার মাধ্যমে কমে যায়","Causal"
"টেক্সটে প্রদত্ত চূড়ান্ত ফলাফল কী নির্দেশ করে?","এটি নির্দেশ করে যে মোট কম্পিউটেশনাল জটিলতা O(|T|^2)","Reasoning"
"টেক্সটে কোন দুটি অ্যারের উপাদানগুলির মাপসই গুণফল সমান হলে সেগুলিকে একই বলা হয়?","দুটি অ্যারের উপাদানগুলির মাপসই গুণফল সমান হলে সেগুলিকে একই বলা হয়।","Factual"
"কেন দুটি অ্যারের উপাদানগুলির মাপসই গুণফল সমান হলে সেগুলিকে একই বলা হয়?","কারণ দুটি অ্যারের উপাদানগুলির মাপসই গুণফল সমান হলে তাদের একই হবার শর্তটি পূরণ হয়।","Causal"
"দুটি অ্যারের উপাদানগুলির মাপসই গুণফল সমান হলে সেগুলিকে একই বলা হলে কী বোঝায়?","এটি বোঝায় যে দুটি অ্যারের উপাদানগুলির মধ্যে একটি নির্দিষ্ট সম্পর্ক রয়েছে।","Reasoning"
"অ্যালগরিদমের প্রথম অ্যারের দুটি পাশাপাশি উপাদান swap করা হলে কী হবে?","প্রথম অ্যারের দুটি পাশাপাশি উপাদান swap করলে একটি নতুন অ্যারে তৈরি হবে।","Factual"
